anio,mes,dia,hora(utc),altura(mm)
2016,5,23,12,558 
2016,5,23,13,380 
2016,5,23,14,204 
2016,5,23,15,87 
2016,5,23,16,72 
2016,5,23,17,165 
2016,5,23,18,345 
2016,5,23,19,576 
2016,5,23,20,808 
2016,5,23,21,984 
2016,5,23,22,1060 
2016,5,23,23,1019 
2016,5,24,0,873 
2016,5,24,1,649 
2016,5,24,2,398 
2016,5,24,3,182 
2016,5,24,4,55 
2016,5,24,5,39 
2016,5,24,6,125 
2016,5,24,7,286 
2016,5,24,8,480 
2016,5,24,9,654 
2016,5,24,10,758 
2016,5,24,11,765 
2016,5,24,12,676 
2016,5,24,13,513 
2016,5,24,14,317 
2016,5,24,15,144 
2016,5,24,16,52 
2016,5,24,17,73 
2016,5,24,18,202 
2016,5,24,19,410 
2016,5,24,20,658 
2016,5,24,21,888 
2016,5,24,22,1042 
2016,5,24,23,1081 
2016,5,25,0,1000 
2016,5,25,1,813 
2016,5,25,2,561 
2016,5,25,3,305 
2016,5,25,4,108 
2016,5,25,5,16 
2016,5,25,6,40 
2016,5,25,7,164 
2016,5,25,8,354 
2016,5,25,9,560 
2016,5,25,10,724 
2016,5,25,11,802 
2016,5,25,12,775 
2016,5,25,13,651 
2016,5,25,14,462 
2016,5,25,15,256 
2016,5,25,16,97 
2016,5,25,17,35 
2016,5,25,18,92 
2016,5,25,19,253 
2016,5,25,20,485 
2016,5,25,21,741 
2016,5,25,22,959 
2016,5,25,23,1082 
2016,5,26,0,1081 
2016,5,26,1,957 
2016,5,26,2,735 
2016,5,26,3,467 
2016,5,26,4,219 
2016,5,26,5,52 
2016,5,26,6,0 
2016,5,26,7,65 
2016,5,26,8,224 
2016,5,26,9,436 
2016,5,26,10,644 
2016,5,26,11,790 
2016,5,26,12,837 
2016,5,26,13,775 
2016,5,26,14,619 
2016,5,26,15,411 
2016,5,26,16,208 
2016,5,26,17,70 
2016,5,26,18,40 
2016,5,26,19,128 
2016,5,26,20,315 
2016,5,26,21,563 
2016,5,26,22,817 
2016,5,26,23,1013 
2016,5,27,0,1099 
2016,5,27,1,1056 
2016,5,27,2,893 
2016,5,27,3,647 
2016,5,27,4,377 
2016,5,27,5,151 
2016,5,27,6,19 
2016,5,27,7,8 
2016,5,27,8,111 
2016,5,27,9,300 
2016,5,27,10,525 
2016,5,27,11,726 
2016,5,27,12,848 
2016,5,27,13,863 
2016,5,27,14,767 
2016,5,27,15,587 
2016,5,27,16,371 
2016,5,27,17,178 
2016,5,27,18,63 
2016,5,27,19,61 
2016,5,27,20,175 
2016,5,27,21,381 
2016,5,27,22,636 
2016,5,27,23,877 
2016,5,28,0,1042 
2016,5,28,1,1088 
2016,5,28,2,1006 
2016,5,28,3,814 
2016,5,28,4,557 
2016,5,28,5,299 
2016,5,28,6,101 
2016,5,28,7,7 
2016,5,28,8,35 
2016,5,28,9,174 
2016,5,28,10,386 
2016,5,28,11,615 
2016,5,28,12,802 
2016,5,28,13,899 
2016,5,28,14,883 
2016,5,28,15,761 
2016,5,28,16,565 
2016,5,28,17,348 
2016,5,28,18,168 
2016,5,28,19,74 
2016,5,28,20,94 
2016,5,28,21,227 
2016,5,28,22,444 
2016,5,28,23,694 
2016,5,29,0,913 
2016,5,29,1,1044 
2016,5,29,2,1053 
2016,5,29,3,939 
2016,5,29,4,729 
2016,5,29,5,474 
2016,5,29,6,235 
2016,5,29,7,69 
2016,5,29,8,12 
2016,5,29,9,77 
2016,5,29,10,245 
2016,5,29,11,473 
2016,5,29,12,702 
2016,5,29,13,874 
2016,5,29,14,948 
2016,5,29,15,907 
2016,5,29,16,764 
2016,5,29,17,558 
2016,5,29,18,343 
2016,5,29,19,172 
2016,5,29,20,93 
2016,5,29,21,128 
2016,5,29,22,273 
2016,5,29,23,491 
2016,5,30,0,728 
2016,5,30,1,922 
2016,5,30,2,1021 
2016,5,30,3,1001 
2016,5,30,4,867 
2016,5,30,5,650 
2016,5,30,6,403 
2016,5,30,7,186 
2016,5,30,8,50 
2016,5,30,9,26 
2016,5,30,10,123 
2016,5,30,11,316 
2016,5,30,12,555 
2016,5,30,13,782 
2016,5,30,14,943 
2016,5,30,15,999 
2016,5,30,16,940 
2016,5,30,17,783 
2016,5,30,18,569 
2016,5,30,19,352 
2016,5,30,20,185 
2016,5,30,21,112 
2016,5,30,22,155 
2016,5,30,23,302 
2016,5,31,0,514 
2016,5,31,1,736 
2016,5,31,2,908 
2016,5,31,3,984 
2016,5,31,4,946 
2016,5,31,5,801 
2016,5,31,6,583 
2016,5,31,7,346 
2016,5,31,8,149 
2016,5,31,9,37 
2016,5,31,10,41 
2016,5,31,11,164 
2016,5,31,12,376 
2016,5,31,13,625 
2016,5,31,14,855 
2016,5,31,15,1010 
2016,5,31,16,1057 
2016,5,31,17,986 
