anio,mes,dia,hora(utc),altura(mm)
2016,1,13,14,598 
2016,1,13,15,278 
2016,1,13,16,13 
2016,1,13,17,-130 
2016,1,13,18,-120 
2016,1,13,19,30 
2016,1,13,20,280 
2016,1,13,21,571 
2016,1,13,22,829 
2016,1,13,23,987 
2016,1,14,0,1008 
2016,1,14,1,890 
2016,1,14,2,664 
2016,1,14,3,388 
2016,1,14,4,136 
2016,1,14,5,-20 
2016,1,14,6,-35 
2016,1,14,7,92 
2016,1,14,8,330 
2016,1,14,9,627 
2016,1,14,10,909 
2016,1,14,11,1099 
2016,1,14,12,1148 
2016,1,14,13,1042 
2016,1,14,14,804 
2016,1,14,15,488 
2016,1,14,16,171 
2016,1,14,17,-68 
2016,1,14,18,-171 
2016,1,14,19,-117 
2016,1,14,20,76 
2016,1,14,21,361 
2016,1,14,22,671 
2016,1,14,23,930 
2016,1,15,0,1071 
2016,1,15,1,1065 
2016,1,15,2,915 
2016,1,15,3,663 
2016,1,15,4,372 
2016,1,15,5,122 
2016,1,15,6,-21 
2016,1,15,7,-22 
2016,1,15,8,118 
2016,1,15,9,365 
2016,1,15,10,660 
2016,1,15,11,923 
2016,1,15,12,1083 
2016,1,15,13,1096 
2016,1,15,14,958 
2016,1,15,15,699 
2016,1,15,16,382 
2016,1,15,17,85 
2016,1,15,18,-119 
2016,1,15,19,-181 
2016,1,15,20,-86 
2016,1,15,21,141 
2016,1,15,22,449 
2016,1,15,23,766 
2016,1,16,0,1013 
2016,1,16,1,1130 
2016,1,16,2,1096 
2016,1,16,3,921 
2016,1,16,4,653 
2016,1,16,5,361 
2016,1,16,6,120 
2016,1,16,7,-10 
2016,1,16,8,2 
2016,1,16,9,150 
2016,1,16,10,397 
2016,1,16,11,678 
2016,1,16,12,914 
2016,1,16,13,1039 
2016,1,16,14,1021 
2016,1,16,15,860 
2016,1,16,16,596 
2016,1,16,17,293 
2016,1,16,18,26 
2016,1,16,19,-141 
2016,1,16,20,-164 
2016,1,16,21,-36 
2016,1,16,22,215 
2016,1,16,23,532 
2016,1,17,0,842 
2016,1,17,1,1068 
2016,1,17,2,1160 
2016,1,17,3,1101 
2016,1,17,4,911 
2016,1,17,5,639 
2016,1,17,6,355 
2016,1,17,7,127 
2016,1,17,8,11 
2016,1,17,9,33 
2016,1,17,10,183 
2016,1,17,11,420 
2016,1,17,12,678 
2016,1,17,13,883 
2016,1,17,14,976 
2016,1,17,15,935 
2016,1,17,16,766 
2016,1,17,17,510 
2016,1,17,18,230 
2016,1,17,19,-4 
2016,1,17,20,-136 
2016,1,17,21,-127 
2016,1,17,22,24 
2016,1,17,23,286 
2016,1,18,0,599 
2016,1,18,1,891 
2016,1,18,2,1093 
2016,1,18,3,1162 
2016,1,18,4,1088 
2016,1,18,5,893 
2016,1,18,6,627 
2016,1,18,7,354 
2016,1,18,8,141 
2016,1,18,9,37 
2016,1,18,10,64 
2016,1,18,11,210 
2016,1,18,12,431 
2016,1,18,13,662 
2016,1,18,14,837 
2016,1,18,15,908 
2016,1,18,16,855 
2016,1,18,17,689 
2016,1,18,18,448 
2016,1,18,19,195 
2016,1,18,20,-10 
2016,1,18,21,-113 
2016,1,18,22,-82 
2016,1,18,23,81 
2016,1,19,0,342 
2016,1,19,1,642 
2016,1,19,2,914 
2016,1,19,3,1095 
2016,1,19,4,1148 
2016,1,19,5,1068 
2016,1,19,6,875 
2016,1,19,7,617 
2016,1,19,8,357 
2016,1,19,9,157 
2016,1,19,10,62 
2016,1,19,11,90 
2016,1,19,12,225 
2016,1,19,13,427 
2016,1,19,14,634 
2016,1,19,15,789 
2016,1,19,16,848 
2016,1,19,17,794 
2016,1,19,18,636 
2016,1,19,19,414 
2016,1,19,20,183 
2016,1,19,21,1 
2016,1,19,22,-82 
2016,1,19,23,-39 
2016,1,20,0,126 
2016,1,20,1,378 
2016,1,20,2,662 
2016,1,20,3,916 
2016,1,20,4,1083 
2016,1,20,5,1129 
2016,1,20,6,1048 
2016,1,20,7,859 
2016,1,20,8,610 
2016,1,20,9,362 
2016,1,20,10,172 
2016,1,20,11,79 
2016,1,20,12,102 
2016,1,20,13,225 
